Date,ESI,station,week_x,week_y,2inANOM,4inANOM,8inANOM,20inANOM,40inANOM
2013-04-23,0.571,2176:AL:SCAN,17,17,1.2415539700467522,0.1231396198685389,0.0712157097898093,-1.0625498541125562,-0.252238577052137
2013-04-30,0.372,2176:AL:SCAN,18,18,-0.35719835088409074,-0.920028408821315,-0.8934191498956888,-1.2054994042379525,-0.9868687577919173
2013-05-07,-0.371,2176:AL:SCAN,19,19,1.8702053541090866,1.317478513230504,0.7918395391717997,-0.8384222754473989,-0.9718157649021724
2013-05-14,0.584,2176:AL:SCAN,20,20,1.068695484719511,0.6069044759563839,0.6340828412230118,-0.3194397142491812,-0.3878262188991116
2013-05-21,0.058,2176:AL:SCAN,21,21,0.25708877962872784,-0.15970470260456524,-0.42443602380497003,-0.5448383801771797,-0.2270166902084146
2013-05-28,-0.448,2176:AL:SCAN,22,22,-0.16556756838905054,-0.5428976088882558,-0.6000429460779828,-0.6378474248293547,-0.182494325496929
2013-06-04,-2.366,2176:AL:SCAN,23,23,-0.7062782211185575,-1.030955655540605,-0.935111650461474,-0.9303889560134085,-0.5841009738944216
2013-06-18,-0.632,2176:AL:SCAN,25,25,-0.27247519787101326,-0.6092570511198582,-0.9572297549069846,-1.149898314634158,-0.5359746554572286
2013-07-02,0.875,2176:AL:SCAN,27,27,1.5474956298701248,0.8857303497055472,0.6889203041702224,-0.8481022667975554,-0.12528730594076015
2013-07-30,0.663,2176:AL:SCAN,31,31,,0.8717390984139106,1.00677791583253,0.9941252234816089,1.0565529683764898
2013-08-06,1.306,2176:AL:SCAN,32,32,,0.1975520651096172,0.40110227879957366,0.22519069553599425,1.4701577108980268
2013-08-13,0.8,2176:AL:SCAN,33,33,,1.2973385349935653,0.4767390812326444,0.14251579758833327,1.4332652369433272
2013-08-27,1.114,2176:AL:SCAN,35,35,,0.34154665052286065,0.5043556753603918,0.24059451612635416,1.0968958637561166
2013-09-03,0.166,2176:AL:SCAN,36,36,,-0.14927543690981307,0.518621884682803,0.0958214953232713,0.6041733132697595
2013-09-10,0.741,2176:AL:SCAN,37,37,,-0.6087386611691978,-0.5772458607724428,-0.5281546402303456,0.1051860487235421
2013-09-17,-0.88,2176:AL:SCAN,38,38,,-0.5623477627851109,-0.5574960947519119,-0.5917122516149245,0.06052467175184407
2013-09-24,0.119,2176:AL:SCAN,39,39,,-0.24848433522319935,-0.47352440512366606,-0.660178862576465,0.037880030193210214
2013-10-01,-0.599,2176:AL:SCAN,40,40,,0.829253891727223,-0.30087811579185286,-0.742838249960807,-0.12274748193895282
2013-10-08,0.501,2176:AL:SCAN,41,41,,0.8795866440377901,0.2785881088658697,-0.7814814419718796,-0.2891130521550764
2013-10-15,0.888,2176:AL:SCAN,42,42,,0.8296328114842508,0.6442266981412258,-0.22543413602613516,-0.3234440880744695
2013-10-22,2.038,2176:AL:SCAN,43,43,,0.8797235375878096,0.4018862771329194,-0.34421185517253494,-0.3708719760626136
