,Date,ESI,station,2inANOM,4inANOM,8inANOM,20inANOM,40inANOM,2in_pr,4in_pr,8in_pr,20in_pr,40in_pr,2inSMSDC,4inSMSDC,8inSMSDC,20inSMSDC,40inSMSDC
2948,2018-04-16,0.811,2174:AL:SCAN,0.0968246192159087,-0.2640478605987845,-0.2514050007656597,-1.5453636820320882,-0.3416185398144398,51.044058161145735,38.74686144715818,37.947071199202746,6.233123312331233,37.275723178322956,,,,2.0,
2949,2018-04-23,0.759,2174:AL:SCAN,-0.1108134167178493,-0.514780856652434,-0.5350248103844678,-1.9126805397561828,-0.1199335066338534,44.37520498524106,30.997489157726548,28.989037758830694,2.8015301530153014,44.51360917856707,,,0.0,4.0,
2950,2018-04-30,0.646,2174:AL:SCAN,0.2004677577795853,-0.2267968930174335,-0.041178361593021,-1.8203162127281556,-0.6321435558023162,54.80485405050837,40.27619265007989,45.69815081386336,3.2853285328532857,27.77981203466374,,,,3.0,0.0
2951,2018-05-07,-0.444,2174:AL:SCAN,0.4326969313946028,0.3063671498037861,0.0370987087019068,-1.16833353146297,0.1030177684761157,62.916803323494044,58.42273453549418,49.00896910641125,12.061206120612061,51.71487855486391,,,,1.0,
2952,2018-05-14,-0.833,2174:AL:SCAN,0.3871033471174201,0.0020889028507856,-0.1224612325105037,-1.2878420096586705,0.1119658432568486,61.35344921832295,47.88860990641406,42.630937880633375,9.88973897389739,51.98340046381057,,,,2.0,
2953,2018-05-21,-0.321,2174:AL:SCAN,0.2329415555869019,-0.1025823677855418,-0.0164878082024737,-0.7139360424221302,-0.699977467422026,56.01836667759922,44.384843643003876,46.84973978518436,23.391089108910894,25.839130965458317,,,,0.0,0.0
2954,2018-06-04,-0.836,2174:AL:SCAN,0.5469318026174765,0.0812674464311151,0.1655450638338664,-1.9874725875961363,0.2788085614800087,67.46474253853722,50.7190139237617,54.19111947735578,2.373987398739874,57.46368851458562,,,,4.0,
2955,2018-06-11,-1.042,2174:AL:SCAN,-0.5832138956508526,-0.8006054162631024,-0.8859689568286795,0.081317993022363,0.3969402020634576,28.938449764950256,21.524766035151792,18.779758609234857,48.93114311431143,61.45490052483827,0.0,0.0,1.0,,
2956,2018-06-18,1.543,2174:AL:SCAN,-0.8749920949111628,-0.8664889166262052,-1.308547849767563,0.1058458461144395,0.2560372435347162,20.159615174374114,19.915544396256564,9.257003654080389,49.95499549954995,56.804589283534725,,1.0,2.0,,
2957,2018-06-25,1.01,2174:AL:SCAN,-1.1622393216395002,-1.189544516380444,-1.5563574559360096,-0.4145340395386177,-0.2723306156214577,12.48496774898874,11.344441908240128,5.669361089580335,32.24572457245725,39.55815940436958,1.0,1.0,,,
2958,2018-07-16,0.463,2174:AL:SCAN,-0.2441625453409498,-0.0254893578547909,-0.109938013019406,0.3924018002816342,0.2941916464100572,39.73980540067782,47.07829262725405,43.06278374487875,62.308730873087306,57.89088246063713,,,,,
2959,2018-07-23,-0.406,2174:AL:SCAN,0.1357538100345098,0.0893772480256614,0.2216874494640992,0.3780025482215717,0.3733894131407728,52.574614627746804,51.06140150650537,56.494297419997785,61.701170117011706,60.624923715366776,,,,,
2960,2018-07-30,-1.105,2174:AL:SCAN,0.3398770012465587,0.3306644211936719,0.3172759949795319,0.4194515424959367,0.6933103312810799,59.604241827921726,59.284409952065744,60.39198316908426,63.63636363636363,72.58635420480898,,,,,
2961,2018-08-06,1.827,2174:AL:SCAN,0.3446904554490895,0.8932935882677665,0.3075000243181159,0.48090463081932,0.2766587720452149,59.84475784410189,81.4654188541429,59.93799136308271,66.46039603960396,57.402660808006836,,,,,
2962,2018-08-13,0.596,2174:AL:SCAN,-0.0080450521614464,-0.1042254099586451,-0.1319916363051739,0.2126445466943537,0.1346375853805857,47.52377828796327,44.28212736818078,42.16587310375374,54.32043204320433,52.605883070914196,,,,,
2963,2018-08-20,-0.599,2174:AL:SCAN,0.4606991916916443,0.4466229110298181,0.4923068703795364,0.6699296950995998,0.7607889565652124,64.0100579424948,63.752567906870574,67.02469272505813,73.87488748874887,75.56450628585378,,,,,
2964,2018-09-03,0.842,2174:AL:SCAN,0.3151758471391244,0.8647959093305483,0.4013986018784504,0.7593319871651684,0.2501020290996304,58.59844757844102,80.46108194476147,63.25988262650869,77.43586858685867,56.58488953985109,,,,,
